rok,miejscowość,data,pm25_dobowe
2019,Warszawa,2019-06-25,9.289931375
2019,Warszawa,2019-06-26,13.937976115107913
2019,Warszawa,2019-06-27,11.887516527777779
2019,Warszawa,2019-06-28,6.8692737430555555
2019,Warszawa,2019-06-29,6.41313225
2019,Warszawa,2019-06-30,8.48265825531915
2019,Warszawa,2019-07-01,9.442494430555556
2019,Warszawa,2019-07-02,7.016855097222223
2019,Warszawa,2019-07-03,5.288212513888889
2019,Warszawa,2019-07-04,6.061145472222222
2019,Warszawa,2019-07-05,6.397277361111112
2019,Warszawa,2019-07-06,7.6422508124999995
2019,Warszawa,2019-07-07,8.271539057142858
2019,Warszawa,2019-07-08,6.51318328358209
2019,Warszawa,2019-07-09,5.496332097902098
2019,Warszawa,2019-07-10,6.982049881118881
2019,Warszawa,2019-07-11,7.100990791666667
2019,Warszawa,2019-07-12,8.537148798611112
2019,Warszawa,2019-07-13,12.262118354166667
2019,Warszawa,2019-07-14,6.581209597222222
2019,Warszawa,2019-07-15,6.020664062937063
2019,Warszawa,2019-07-16,11.19287913986014
2019,Warszawa,2019-07-17,8.769956027777777
2019,Warszawa,2019-07-18,6.784848180555556
2019,Warszawa,2019-07-19,10.139080854166666
2019,Warszawa,2019-07-20,15.12515651388889
2019,Warszawa,2019-07-21,13.252940590277777
2019,Warszawa,2019-07-22,7.784760230769231
2019,Warszawa,2019-07-23,9.891285527777777
2019,Warszawa,2019-07-24,9.306940294573643
2019,Warszawa,2019-07-25,8.864550357798166
2019,Warszawa,2019-07-26,7.707992787610619
2019,Warszawa,2019-07-27,9.648671949999999
2019,Warszawa,2019-07-28,14.126825286885246
2019,Warszawa,2019-07-29,15.530292553030305
2019,Warszawa,2019-07-30,17.454484932835822
2019,Warszawa,2019-07-31,8.085590784722221
2019,Warszawa,2019-08-01,8.502015763888888
2019,Warszawa,2019-08-02,11.093608868055556
2019,Warszawa,2019-08-03,10.737174465277779
2019,Warszawa,2019-08-04,7.6320066875
2019,Warszawa,2019-08-05,9.417874069444444
2019,Warszawa,2019-08-06,12.019384777777779
2019,Warszawa,2019-08-07,11.728888430555555
2019,Warszawa,2019-08-08,10.932460861111112
2019,Warszawa,2019-08-09,8.290076763888889
2019,Warszawa,2019-08-10,9.3446720625
2019,Warszawa,2019-08-11,7.294398541666666
2019,Warszawa,2019-08-12,10.870903583333334
2019,Warszawa,2019-08-13,13.648535708333334
2019,Warszawa,2019-08-14,9.003880819444444
2019,Warszawa,2019-08-15,9.109700166666666
2019,Warszawa,2019-08-16,11.302495749999999
2019,Warszawa,2019-08-17,14.209399263888889
2019,Warszawa,2019-08-18,10.31822929861111
2019,Warszawa,2019-08-19,7.521836326388889
